Sample name	ST (Pending novel allocation)	Source Niche	Source Type	Intestinal_or_Extraintestinal	Collection	State	Biosample (Pending allocations)	IncF RST
AUSMDU00055418	405	Human	Human	Extraintestinal	MDU	VIC	NA	F59*:A1:B10
AUSMDU00010405	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B10
AUSMDU00058136	405	Human	Human	Extraintestinal	MDU	VIC	NA	F35!/F1!:A1:B20
AUSMDU00039655	405	Human	Human	Extraintestinal	MDU	VIC	NA	F59!/F1!:A1:B20
AUSMDU00024526	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36:A-:B32
AUSMDU00021676	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A6:B20
AUSMDU00008495	405	Human	Human	Intestinal	MDU	VIC	NA	F2!/F1!:A6:B20
SRR7724565	405	Wild Animal	Avian	Unknown	Enterobase	NSW	SAMN09866858	F1:A2:B20
SRR7828672	405	Human	Human	Extraintestinal	Enterobase	NA	SAMN10058894	F1:A-:B-
AUSMDU00034383	405	Human	Human	Intestinal	MDU	VIC	NA	F-:A-:B-
AUSMDU00015583	405	Human	Human	Intestinal	MDU	VIC	NA	F-:A-:B-
AUSMDU00016534	405	Human	Human	Extraintestinal	MDU	VIC	NA	F40:A-:B-
SRR7724731	405	Wild Animal	Avian	Unknown	Enterobase	VIC	SAMN09866976	F-:A-:B-
SRR7724733	405	Wild Animal	Avian	Unknown	Enterobase	VIC	SAMN09866975	F-:A-:B-
AusGEM_01987	405	Human	Human	Extraintestinal	AusGEM	NSW	NA	F-:A-:B-
AusGEM_00366	405	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F4!/F29!:A-:B10
AusGEM_01904	405	Human	Human	Extraintestinal	AusGEM	NSW	NA	F95!/F29!:A-:B10
AusGEM_01143	405	Human	Human	Extraintestinal	AusGEM	NSW	NA	F51:A-:B10*
AusGEM_01412	405	Human	Human	Extraintestinal	AusGEM	NSW	NA	F4!/F29!:A-:B10
AUSMDU00030487	405	Human	Human	Intestinal	MDU	VIC	NA	F29:A-:B10
AusGEM_00554	405	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F106!/F1!:A1:B16
AusGEM_00553	405	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F106!/F1!:A1:B16
AUSMDU00010773	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AusGEM_01912	405	Human	Human	Extraintestinal	AusGEM	NSW	NA	F29:A-:B10
AUSMDU00034382	405	Human	Human	Intestinal	MDU	VIC	NA	F35:A-:B10
ERR5355623	405	Human	Human	Unknown	Enterobase	NA	SAMEA8100935	F1:A1:B16
AUSMDU00019304	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00038915	405	Human	Human	Extraintestinal	MDU	VIC	NA	F29:A-:B10
AUSMDU00038883	405	Human	Human	Unknown	MDU	VIC	NA	F29:A-:B10
AUSMDU00034384	405	Human	Human	Intestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00022964	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00029467	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00019970	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A4:B10
ERR5355808	405	Human	Human	Unknown	Enterobase	NA	SAMEA8101120	F1:A1:B16
AUSMDU00016532	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A2:B33
AUSMDU00041492	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00020172	405	Human	Human	Intestinal	MDU	VIC	NA	F36:A-:B32
SRR6455987	405	Human	Human	Unknown	Enterobase	NSW	SAMN08328851	F1:A1:B16
AUSMDU00017590	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
SRR8767568	405	Human	Human	Unknown	Enterobase	QLD	SAMN11230920	F2!/F1!:A1:B16
AUSMDU00051494	405	Human	Human	Intestinal	MDU	VIC	NA	F2:A4:B-
AUSMDU00041340	405	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A4:B-
AUSMDU00042164	405	Human	Human	Intestinal	MDU	VIC	NA	F1:A1:B49
AUSMDU00025586	405	Human	Human	Intestinal	MDU	VIC	NA	F1:A1:B49
AUSMDU00047807	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B49
AUSMDU00048768	405	Human	Human	Intestinal	MDU	VIC	NA	F2!/F1!:A25:B49
AUSMDU00046588	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B49
AUSMDU00037994	405	Human	Human	Extraintestinal	MDU	VIC	NA	F-:A-:B-
AUSMDU00049665	405	Human	Human	Intestinal	MDU	VIC	NA	F36:A1:B-
AUSMDU00019979	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00044395	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00042766	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B33
AUSMDU00034199	405	Human	Human	Intestinal	MDU	VIC	NA	F36!/F31!:A1:B1
AUSMDU00041373	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00010474	405	Human	Human	Intestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00010728	405	Human	Human	Intestinal	MDU	VIC	NA	F2:A-:B32
AUSMDU00015328	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36:A1:B37
AUSMDU00005204	405	Human	Human	Intestinal	MDU	VIC	NA	F36:A1:B37
AUSMDU00027506	405	Human	Human	Intestinal	MDU	VIC	NA	F36:A1:B37
AUSMDU00027311	405	Human	Human	Intestinal	MDU	VIC	NA	F36:A1:B37
AUSMDU00067152	405	Human	Human	Intestinal	MDU	VIC	NA	F36:A1:B37
AUSMDU00021658	5954	Human	Human	Intestinal	MDU	VIC	NA	F36:A1*:B37
AUSMDU00017775	5954	Human	Human	Extraintestinal	MDU	VIC	NA	F36:A1:B37
SRR7724694	405	Wild Animal	Avian	Unknown	Enterobase	NSW	SAMN09866865	F1:A1:B1
SRR7724568	405	Wild Animal	Avian	Unknown	Enterobase	NSW	SAMN09866861	F1:A1:B1
AUSMDU00025451	405	Human	Human	Intestinal	MDU	VIC	NA	F1:A1:B1
AUSMDU00011368	405	Human	Human	Intestinal	MDU	VIC	NA	F2:A1:B32
ERR5355829	7358	Human	Human	Unknown	Enterobase	NA	SAMEA8101141	F1:A1:B1
AUSMDU00070164	405	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B1
AUSMDU00022970	405	Human	Human	Extraintestinal	MDU	VIC	NA	F-:A-:B-
AUSMDU00010797	405	Human	Human	Intestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00041500	405	Human	Human	Intestinal	MDU	VIC	NA	F36!/F31!:A4:B1
AUSMDU00016021	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A-:B10
AUSMDU00007343	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36!/F31!:A-:B10
AUSMDU00021202	405	Human	Human	Extraintestinal	MDU	VIC	NA	F36:A-:B10
SRR7724564	405	Wild Animal	Avian	Unknown	Enterobase	NSW	SAMN09866857	F1:A1:B1
AUSMDU00034385	405	Human	Human	Intestinal	MDU	VIC	NA	F-:A-:B-
TEA_A3_52	6802	Food	Poultry Meat	Other	TEA	ACT	NA	F24:A-:B1
AusGEM_01926	405	Human	Human	Extraintestinal	AusGEM	NSW	NA	F29:A-:B10
TEA_B1694	701	Wild Animal	Avian	Intestinal	TEA	QLD	NA	F-:A-:B-
TEA_B1684	701	Wild Animal	Avian	Intestinal	TEA	QLD	NA	F-:A-:B-
AUSMDU00034394	701	Human	Human	Intestinal	MDU	VIC	NA	F29:A-:B-
TEA_B1956	1406	Wild Animal	Avian	Intestinal	TEA	QLD	NA	F2:A-:B52*
AusGEM_01230	1406	Human	Human	Extraintestinal	AusGEM	NSW	NA	F64*:A-:B-
TEA_14_4_DC7	3056	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_14_1_R13	3056	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_14_2_R14	3056	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_E2558	938	Environmental	Water	Other	TEA	QLD	NA	F16:A-:B56*
TEA_66_1_AC1	938	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_TA373	6974	Wild Animal	Mammal	Intestinal	TEA	NSW	NA	F2:A-:B-
AusGEM_01811	1299	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F-:A-:B-
AusGEM_01810	1299	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F-:A-:B-
AusGEM_01809	1299	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F-:A-:B-
TEA_M701	362	Wild Animal	Mammal	Intestinal	TEA	TAS	NA	F-:A-:B-
AusGEM_00555	362	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F-:A-:B-
TEA_72_5_Ti14	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_70_3_Ti8	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_71_2_Ti5	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_67_1_Ti13	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_68_3_TC19	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_M290	362	Wild Animal	Mammal	Intestinal	TEA	NSW	NA	C4:A-:B79*
TEA_29_4_DC8	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_29_1_DC3	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
SRR11094238	362	Human	Human	Unknown	Enterobase	QLD	SAMN14118479	F67:A-:B38
AusGEM_00033	362	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	C4:A-:B1
AusGEM_00021	362	Livestock	Avian	Extraintestinal	AusGEM	NA	NA	C4:A-:B1
TEA_C3_59	362	Food	Poultry Meat	Other	TEA	ACT	NA	C4:A-:B1
TEA_TA277	362	Wild Animal	Mammal	Intestinal	TEA	TAS	NA	F67!/F40!:A-:B38
TEA_25_2_DC7	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
AusGEM_00463	362	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F-:A-:B-
TEA_25_3_ADC_20	362	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
ERR5355591	362	Human	Human	Unknown	Enterobase	NA	SAMEA8100903	F-:A-:B-
TEA_B1930	1670	Livestock	Avian	Intestinal	TEA	NSW	NA	F-:A-:B-
AusGEM_00890	1670	Livestock	Porcine	Intestinal	AusGEM	NSW	NA	F-:A-:B-
ERR5355941	68	Human	Human	Unknown	Enterobase	NA	SAMEA8101253	F2:A-:B-
AusGEM_01514	68	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F-:A-:B-
TEA_W2_75	68	Food	Poultry Meat	Other	TEA	ACT	NA	F33:A6:B29*
TEA_A2_7	68	Food	Poultry Meat	Other	TEA	ACT	NA	F33:A6:B29*
TEA_C4_41	68	Food	Poultry Meat	Other	TEA	ACT	NA	F33!/F29!:A2:B29*
TEA_C2_93	68	Food	Poultry Meat	Other	TEA	ACT	NA	F33!/F29!:A2:B29*
TEA_A2_30	68	Food	Poultry Meat	Other	TEA	ACT	NA	F33!/F29!:A2:B29*
TEA_TA478	68	Wild Animal	Mammal	Intestinal	TEA	NSW	NA	F-:A-:B-
AusGEM_00032	68	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F64:A-:B27
AusGEM_01236	68	Human	Human	Extraintestinal	AusGEM	NSW	NA	F-:A-:B-
SRR6455979	68	Human	Human	Unknown	Enterobase	NSW	SAMN08328783	F-:A-:B-
SRR6455975	7901	Human	Human	Unknown	Enterobase	NSW	SAMN08328779	F-:A-:B-
TEA_M526	1061	Wild Animal	Mammal	Intestinal	TEA	NSW	NA	F-:A-:B-
AusGEM_00550	1590	Companion Animal	Canine	Intestinal	AusGEM	VIC	NA	F-:A-:B-
TEA_TA423	6663	Wild Animal	Mammal	Intestinal	TEA	QLD	NA	C6:A-:B53
TEA_E2873	4557	Environmental	Water	Other	TEA	QLD	NA	F6?*:A-:B-
TEA_E9870	6973	Environmental	Water	Other	TEA	QLD	NA	F81?*:A-:B59*
TEA_E7645	5663	Environmental	Water	Other	TEA	NSW	NA	F24*:A-:B-
TEA_E7147	5853	Environmental	Water	Other	TEA	QLD	NA	F40*:A-:B-
TEA_E2025	3573	Environmental	Water	Other	TEA	NSW	NA	F-:A-:B-
TEA_B1089	3573	Wild Animal	Avian	Intestinal	TEA	TAS	NA	F-:A-:B-
TEA_E9567	1567	Environmental	Water	Other	TEA	NSW	NA	F-:A-:B-
TEA_47_4_R1	1567	Human	Human	Intestinal	TEA	ACT	NA	C1*:A-:B59*
AusGEM_01082	10208	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F96:A-:B54
TEA_E2810	5451	Environmental	Water	Other	TEA	QLD	NA	F-:A-:B-
TEA_TA132	714	Wild Animal	Mammal	Intestinal	TEA	WA	NA	F103:A-:B-
TEA_TA120	714	Wild Animal	Mammal	Intestinal	TEA	WA	NA	F103:A-:B-
TEA_C4_38	714	Food	Poultry Meat	Other	TEA	ACT	NA	F76!/F64!:A-:B27
TEA_TA376	1886	Wild Animal	Mammal	Intestinal	TEA	NSW	NA	F-:A-:B-
TEA_72_4_Ti9	132	Human	Human	Intestinal	TEA	ACT	NA	F40:A-:B20
TEA_67_3_Ti10	132	Human	Human	Intestinal	TEA	ACT	NA	F40:A-:B20
TEA_25_1_ADC_2	132	Human	Human	Intestinal	TEA	ACT	NA	F96!/F40!:A-:B59*
TEA_E2521	^^14	Environmental	Water	Other	TEA	QLD	NA	F106*:A-:B-
TEA_56_4_R1	6170	Human	Human	Intestinal	TEA	ACT	NA	F51:A-:B10
TEA_56_3_AC1	6170	Human	Human	Intestinal	TEA	ACT	NA	F51:A-:B10
TEA_E7812	1938	Environmental	Water	Other	TEA	NSW	NA	F-:A-:B-
TEA_TA383	1938	Wild Animal	Mammal	Intestinal	TEA	SA	NA	F56:A-:B59*
AUSMDU00040867	^^89	Human	Human	Intestinal	MDU	VIC	NA	F-:A-:B-
TEA_TA210	6966	Wild Animal	Mammal	Intestinal	TEA	NSW	NA	F-:A-:B-
TEA_E6181	6970	Environmental	Water	Other	TEA	NSW	NA	C1*:A-:B59*
SRR6456017	1588	Human	Human	Unknown	Enterobase	NSW	SAMN08328788	F-:A-:B-
SRR14160917	70	Livestock	Porcine	Unknown	Enterobase	NA	SAMN18643034	F2:A-:B1
AUSMDU00021673	3045	Human	Human	Intestinal	MDU	VIC	NA	F96?*:A-:B-
AusGEM_01008	70	Livestock	Porcine	Intestinal	AusGEM	NSW	NA	F4:A-:B-
AusGEM_00956	70	Livestock	Porcine	Intestinal	AusGEM	NSW	NA	F4:A-:B-
SRR11094158	^^50	Human	Human	Extraintestinal	Enterobase	QLD	SAMN14118534	F-:A-:B-
AusGEM_00779	349	Human	Human	Extraintestinal	AusGEM	NSW	NA	F-:A-:B-
AUSMDU00008267	349	Human	Human	Extraintestinal	MDU	VIC	NA	C4:A-:B1
TEA_M558	349	Wild Animal	Mammal	Intestinal	TEA	QLD	NA	F-:A-:B-
ERR5355594	349	Human	Human	Unknown	Enterobase	NA	SAMEA8100906	F64:A-:B12*
AusGEM_01132	349	Human	Human	Extraintestinal	AusGEM	NSW	NA	F51:A-:B10
TEA_7_3_R4	349	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
TEA_E8612	349	Environmental	Water	Other	TEA	QLD	NA	F-:A-:B-
AusGEM_01323	349	Human	Human	Extraintestinal	AusGEM	NSW	NA	F-:A-:B-
TEA_TA106	349	Wild Animal	Mammal	Intestinal	TEA	VIC	NA	F79?*:A-:B-
TEA_C4_39	349	Food	Poultry Meat	Other	TEA	ACT	NA	F4:A-:B1
TEA_C4_36	349	Food	Poultry Meat	Other	TEA	ACT	NA	F4:A-:B1
TEA_B1709	349	Wild Animal	Avian	Intestinal	TEA	TAS	NA	F104:A-:B-
AusGEM_01278	349	Human	Human	Extraintestinal	AusGEM	NSW	NA	F-:A-:B-
AUSMDU00019216	10200	Human	Human	Intestinal	MDU	VIC	NA	C4:A-:B1
AusGEM_01373	349	Human	Human	Extraintestinal	AusGEM	NSW	NA	F-:A-:B-
AusGEM_01241	349	Human	Human	Extraintestinal	AusGEM	NSW	NA	F96:A-:B-
TEA_B1542	349	Wild Animal	Avian	Intestinal	TEA	WA	NA	C1:A-:B16
TEA_1_3_Ti10	349	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
AUSMDU00026958	349	Human	Human	Unknown	MDU	VIC	NA	C4:A5:B1
AusGEM_00811	349	Human	Human	Extraintestinal	AusGEM	NSW	NA	F4:A-:B-
AUSMDU00070152	349	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A-:B1
TEA_C2_46	349	Food	Poultry Meat	Other	TEA	ACT	NA	F64:A-:B27
TEA_C2_44	349	Food	Poultry Meat	Other	TEA	ACT	NA	F64:A-:B27
TEA_A4_29	6066	Food	Poultry Meat	Other	TEA	ACT	NA	F24:A-:B1
TEA_TA349	108	Wild Animal	Mammal	Intestinal	TEA	VIC	NA	F-:A-:B-
TEA_B1837	108	Wild Animal	Avian	Intestinal	TEA	QLD	NA	F-:A-:B-
TEA_51_6_R16	108	Human	Human	Intestinal	TEA	ACT	NA	F68*:A2:B56
TEA_51_2_R1	108	Human	Human	Intestinal	TEA	ACT	NA	F68*:A2:B56
TEA_51_3_R19	108	Human	Human	Intestinal	TEA	ACT	NA	F68*:A2:B56
TEA_51_7_R18	108	Human	Human	Intestinal	TEA	ACT	NA	F68*:A2:B56
AusGEM_01777	973	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F-:A-:B-
AusGEM_00394	973	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F-:A-:B-
TEA_E8797	973	Environmental	Water	Other	TEA	NSW	NA	F64!/F17!:A-:B54
TEA_B771	973	Wild Animal	Avian	Intestinal	TEA	NSW	NA	F64:A-:B54
TEA_B1333	973	Wild Animal	Avian	Intestinal	TEA	NSW	NA	F64:A-:B54
TEA_TA112	973	Wild Animal	Mammal	Intestinal	TEA	WA	NA	F-:A-:B-
TEA_TA085	973	Wild Animal	Mammal	Intestinal	TEA	WA	NA	F24*:A-:B-
TEA_26_1_C13	973	Human	Human	Intestinal	TEA	ACT	NA	F-:A-:B-
AusGEM_01776	973	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F-:A-:B-
AusGEM_01775	973	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F-:A-:B23
SRR6456035	973	Human	Human	Extraintestinal	Enterobase	NSW	SAMN08328808	F56:A6:B1
SRR11094220	973	Human	Human	Extraintestinal	Enterobase	QLD	SAMN14118554	F-:A-:B-
AusGEM_00118	973	Livestock	Avian	Extraintestinal	AusGEM	QLD	NA	F24:A-:B8
AusGEM_00002	973	Livestock	Avian	Extraintestinal	AusGEM	NSW	NA	F24:A-:B8
AusGEM_00110	973	Livestock	Avian	Extraintestinal	AusGEM	NSW	NA	F24:A-:B8
AusGEM_00066	973	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F24:A-:B8
AusGEM_00100	973	Livestock	Avian	Extraintestinal	AusGEM	NSW	NA	F24:A-:B8
AusGEM_00044	973	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F24:A-:B8
AusGEM_00061	973	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F24:A-:B8
TEA_TA089	973	Wild Animal	Mammal	Intestinal	TEA	WA	NA	F-:A-:B-
AusGEM_01774	973	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F67:A6:B38
ERR5355644	973	Human	Human	Unknown	Enterobase	NA	SAMEA8100956	F-:A-:B-
SRR11094235	6321	Human	Human	Extraintestinal	Enterobase	QLD	SAMN14118540	F-:A-:B-
TEA_B721	6961	Wild Animal	Avian	Intestinal	TEA	NSW	NA	F-:A-:B-
TEA_B1737	6959	Wild Animal	Avian	Intestinal	TEA	QLD	NA	F45:A-:B67
TEA_TA350	1926	Wild Animal	Mammal	Intestinal	TEA	VIC	NA	F-:A-:B-
SRR6455969	9009	Human	Human	Extraintestinal	Enterobase	NSW	SAMN08328840	F13:A-:B45
TEA_E6003	549	Environmental	Water	Other	TEA	QLD	NA	F-:A-:B-
TEA_E5895	549	Environmental	Water	Other	TEA	QLD	NA	F-:A-:B-
AusGEM_00816	549	Human	Human	Extraintestinal	AusGEM	NSW	NA	C5?*:A-:B1
TEA_TA204	501	Wild Animal	Mammal	Intestinal	TEA	NSW	NA	C1*:A-:B59*
AusGEM_00003	8398	Livestock	Avian	Extraintestinal	AusGEM	NA	NA	F82/C4:A-:B1
TEA_B1077	501	Wild Animal	Avian	Intestinal	TEA	TAS	NA	F-:A-:B-
AusGEM_01363	501	Human	Human	Extraintestinal	AusGEM	NSW	NA	F12*:A-:B79*
TEA_TA256	501	Wild Animal	Mammal	Intestinal	TEA	NT	NA	F-:A-:B-
ERR5355903	501	Human	Human	Unknown	Enterobase	NA	SAMEA8101215	F-:A-:B-
TEA_E2026	69	Environmental	Water	Other	TEA	NSW	NA	F-:A-:B-
AUSMDU00062084	69	Human	Human	Extraintestinal	MDU	VIC	NA	C4:A6?:B1
TEA_E5472	69	Environmental	Water	Other	TEA	QLD	NA	F-:A-:B-
AUSMDU00027798	69	Human	Human	Intestinal	MDU	VIC	NA	F-:A-:B-
TEA_B1505	69	Wild Animal	Avian	Intestinal	TEA	ACT	NA	F2:A-:B1
AUSMDU00008268	69	Human	Human	Extraintestinal	MDU	VIC	NA	F29!/F2!:A-:B10
TEA_B1341	69	Wild Animal	Avian	Intestinal	TEA	NSW	NA	F2:A-:B1
AUSMDU00027857	69	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A-:B1
AusGEM_01515	69	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	C4:A5:B1
AusGEM_01516	69	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	C4:A5:B1
ERR5355880	69	Human	Human	Unknown	Enterobase	NA	SAMEA8101192	C4:A-:B40
ERR5355869	69	Human	Human	Unknown	Enterobase	NA	SAMEA8101181	F52:A-:B10
AusGEM_00309	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00308	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00301	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00299	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00297	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00295	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00311	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00296	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00298	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00312	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00175	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00174	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00173	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00172	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00170	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00169	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00168	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00166	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00176	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00171	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00147	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AusGEM_00146	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F4:A-:B1
AUSMDU00042763	69	Human	Human	Extraintestinal	MDU	VIC	NA	F52:A6*:B48
AusGEM_00790	69	Human	Human	Extraintestinal	AusGEM	NSW	NA	F52:A6*:B48
AUSMDU00028585	69	Human	Human	Extraintestinal	MDU	VIC	NA	F52:A6*:B48
AUSMDU00067906	69	Human	Human	Extraintestinal	MDU	VIC	NA	F52!/F45!:A6*:B48
AUSMDU00057170	69	Human	Human	Extraintestinal	MDU	VIC	NA	F52!/F35!:A6*:B48
ERR5355961	69	Human	Human	Unknown	Enterobase	NA	SAMEA8101273	F2:A-:B-
AusGEM_01042	69	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F67:A-:B38
AusGEM_01034	69	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F67:A-:B38
AusGEM_01043	69	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F67:A-:B38
AusGEM_01340	69	Human	Human	Extraintestinal	AusGEM	NSW	NA	F-:A-:B-
AusGEM_01288	69	Human	Human	Extraintestinal	AusGEM	NSW	NA	F2:A-:B1
AusGEM_00983	69	Livestock	Porcine	Intestinal	AusGEM	NSW	NA	F52:A6*:B48
AusGEM_00949	69	Livestock	Porcine	Intestinal	AusGEM	NSW	NA	F52:A6*:B48
AusGEM_00925	69	Livestock	Porcine	Intestinal	AusGEM	NSW	NA	F52:A6*:B48
AusGEM_01021	69	Livestock	Porcine	Intestinal	AusGEM	NSW	NA	F52:A6*:B48
AusGEM_00261	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F24:A-:B1
AusGEM_00259	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F24:A-:B1
AusGEM_01256	69	Human	Human	Extraintestinal	AusGEM	NSW	NA	F24:A-:B1
AUSMDU00042652	69	Human	Human	Unknown	MDU	VIC	NA	F2!/F10!:A-:B1
AUSMDU00022547	69	Human	Human	Intestinal	MDU	VIC	NA	F35!/F107!:A-:B1
SRR11094180	69	Human	Human	Unknown	Enterobase	QLD	SAMN14118514	C4:A5:B1
TEA_TA073	106	Wild Animal	Mammal	Intestinal	TEA	ACT	NA	F82:A-:B-
ERR5355681	106	Human	Human	Unknown	Enterobase	NA	SAMEA8100993	F-:A-:B-
TEA_A4_61	69	Food	Poultry Meat	Other	TEA	ACT	NA	F-:A-:B-
AusGEM_00290	69	Livestock	Avian	Extraintestinal	AusGEM	VIC	NA	F-:A-:B-
TEA_W2_80	69	Food	Poultry Meat	Other	TEA	ACT	NA	F-:A-:B-
TEA_C2_45	69	Food	Poultry Meat	Other	TEA	ACT	NA	F-:A-:B-
TEA_W2_76	69	Food	Poultry Meat	Other	TEA	ACT	NA	C4:A-:B1
SRR4067482	69	Human	Human	Intestinal	Enterobase	NSW	SAMN05567364	F-:A2:B20
SRR4067468	69	Human	Human	Intestinal	Enterobase	NSW	SAMN05567367	F-:A2:B20
SRR4067504	69	Human	Human	Intestinal	Enterobase	NSW	SAMN05567363	F1:A2:B20
