Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Path/Nonpath	Serological Group	Serotype	EcoR Cluster	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen(Serotype Prediction)	H Antigen(Serotype Prediction)	ST(Achtman 7 Gene MLST)	ST Complex(Achtman 7 Gene MLST)	Lineage(Achtman 7 Gene MLST)	Subspecies(Achtman 7 Gene MLST)	Status(Assembly stats)	Coverage(Assembly stats)	N50(Assembly stats)	Length(Assembly stats)	Species(Assembly stats)	Contig Number(>=200 bp)(Assembly stats)	Low Quality Bases(Assembly stats)	Version(Assembly stats)	Assembly barcode(Assembly stats)	ST(wgMLST)	ST(cgMLST V1 + HierCC V1)	HC0 (indistinguishable)(cgMLST V1 + HierCC V1)	HC2(cgMLST V1 + HierCC V1)	HC5(cgMLST V1 + HierCC V1)	HC10(cgMLST V1 + HierCC V1)	HC20(cgMLST V1 + HierCC V1)	HC50(cgMLST V1 + HierCC V1)	HC100(cgMLST V1 + HierCC V1)	HC200(cgMLST V1 + HierCC V1)	HC400(cgMLST V1 + HierCC V1)	HC1100 (cgST Cplx)(cgMLST V1 + HierCC V1)	HC1500(cgMLST V1 + HierCC V1)	HC2000(cgMLST V1 + HierCC V1)	HC2350 (subsp.)(cgMLST V1 + HierCC V1)	Clermont Type (ClermonTyping)(Phylotypes)	Clermont Type (EzClermont)(Phylotypes)	fimH (fimTyper)(Phylotypes)	Pathovar(Phylotypes)	Stx1(Phylotypes)	Stx2(Phylotypes)	ipaH(Phylotypes)	pInv(Phylotypes)	ST(Phylotypes)	LT(Phylotypes)	eae(Phylotypes)	rST(rMLST)	Species (rMLST)(rMLST)
ESC_MA7647AA	TMP020042	ERR3330257;ILLUMINA;Paired;350;ERX3354972;SRA	Environment	Environment	household environment	2015	10	26		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611761	ERS3415950	2019-05-30	2019-05-20	ESC_MA7647AA	O6	H49	1079	ND	AxB1	ND	Assembled	121	236097	5032938	Escherichia coli / Shigella;83.51%	141	15975	4	ESC_ZA5877AA_AS	108427	97436	97436	97436	97436	97436	97436	97436	96940	1594	1594	1594	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	144181	Escherichia coli
ESC_MA7648AA	TMP019979	ERR3330248;ILLUMINA;Paired;350;ERX3354963;SRA	ND	Avian	avian	2015	10	27		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611752	ERS3415941	2019-05-30	2019-05-20	ESC_MA7648AA	B15 or O112	H2	388	ND	B1	ND	Assembled	115	167170	4969744	Escherichia coli / Shigella;100.0%	95	17880	4	ESC_ZA5876AA_AS	108425	97440	97440	97440	97440	97440	97440	97440	97440	4275	1307	83	5	2	1	B1	B1	fimH26	-	-	-	-	-	-	-	-	32432	Escherichia/Shigella sp.
ESC_MA7649AA	TMP019975	ERR3330247;ILLUMINA;Paired;350;ERX3354962;SRA	ND	Avian	avian	2015	10	27		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611751	ERS3415940	2019-05-30	2019-05-20	ESC_MA7649AA	O134	H7	2800	ND	ND	ND	Assembled	98	569564	4675399	Escherichia coli / Shigella;94.74%	28	7265	4	ESC_ZA5875AA_AS	108430	97435	97435	97435	97435	97435	97435	97435	97435	56476	26475	26475	26475	1	1	B2	B2	fimH1	-	-	-	-	-	-	-	-	137970	Escherichia/Shigella sp.
ESC_MA7650AA	TMP019962	ERR3330246;ILLUMINA;Paired;350;ERX3354961;SRA	Environment	Environment	household environment	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611750	ERS3415939	2019-05-30	2019-05-20	ESC_MA7650AA	O21	H55	5523	ST398 Cplx	A	ND	Assembled	48	99903	4664845	Escherichia coli / Shigella;90.54%	150	39611	4	ESC_ZA5874AA_AS	108431	97439	97439	97439	97439	97439	97439	97439	1404	1404	1404	13	5	2	1	A	A	fimH594	-	-	-	-	-	-	-	-	1823	Escherichia coli
ESC_MA7651AA	TMP019956	ERR3330245;ILLUMINA;Paired;350;ERX3354960;SRA	Livestock	Ovine/Goat (Caprinae)	sheep	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611749	ERS3415938	2019-05-30	2019-05-20	ESC_MA7651AA	O146	H21	6175	ND	B1	ND	Assembled	55	178397	5437698	Escherichia coli / Shigella;96.75%	199	59137	4	ESC_ZA5873AA_AS	108437	97442	97442	97442	97442	97442	97442	96878	89990	89990	877	877	5	2	1	B1	B1	*	E. coli - STEC	+	+	-	-	-	-	-	35169	Escherichia/Shigella sp.
ESC_MA7652AA	TMP019950	ERR3330244;ILLUMINA;Paired;350;ERX3354959;SRA	Livestock	Bovine	bovine	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611748	ERS3415937	2019-05-30	2019-05-20	ESC_MA7652AA	O61	H34	9542	ST398 Cplx	A	ND	Assembled	61	173770	4579288	Escherichia coli / Shigella;98.03%	74	13356	4	ESC_ZA5872AA_AS	108433	97437	97437	97437	97437	97437	97437	97437	97437	23690	23690	13	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	146422	Escherichia coli
ESC_MA7653AA	TMP019948	ERR3330243;ILLUMINA;Paired;350;ERX3354958;SRA	Wild Animal	Rodent	rodent	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611747	ERS3415936	2019-05-30	2019-05-20	ESC_MA7653AA	OX21	H7	9442	ND	B1	ND	Assembled	97	635880	4705185	Escherichia coli / Shigella;100.0%	48	7813	4	ESC_ZA5871AA_AS	108434	96260	96260	96260	96260	96260	96260	96260	96260	17671	3307	152	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	30159	Escherichia/Shigella sp.
ESC_MA7654AA	TMP019942	ERR3330242;ILLUMINA;Paired;350;ERX3354957;SRA	ND	Avian	avian	2015	11	11		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611746	ERS3415935	2019-05-30	2019-05-20	ESC_MA7654AA	O102	H6	7395	ST405 Cplx	ND	ND	Assembled	110	90703	5168495	Escherichia coli / Shigella;96.16%	203	73248	4	ESC_ZA5870AA_AS	108436	97443	97443	97443	97443	97443	97443	97443	46113	14	14	14	14	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	59766	Escherichia/Shigella sp.
ESC_MA7655AA	TMP019936	ERR3330241;ILLUMINA;Paired;350;ERX3354956;SRA	ND	Avian	avian	2015	11	11		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611745	ERS3415934	2019-05-30	2019-05-20	ESC_MA7655AA	O86	H51	155	ST155 Cplx	B1	ND	Assembled	82	185879	5130049	Escherichia coli / Shigella;89.99%	139	23414	4	ESC_ZA5869AA_AS	108443	97441	97441	97441	97441	97441	97441	97441	2296	1157	106	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_MA7656AA	TMP019928	ERR3330240;ILLUMINA;Paired;350;ERX3354955;SRA	ND	Avian	avian	2015	11	11		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611744	ERS3415933	2019-05-30	2019-05-20	ESC_MA7656AA	O40	H19	2758	ND	A	ND	Assembled	95	150674	4810951	Escherichia coli / Shigella;90.1%	157	25534	4	ESC_ZA5868AA_AS	108442	97444	97444	97444	97444	97444	97444	97444	7424	7424	5320	13	5	2	1	A	A	fimH41	-	-	-	-	-	-	-	-	1929	Escherichia coli
ESC_MA7657AA	TMP019915	ERR3330239;ILLUMINA;Paired;350;ERX3354954;SRA	Human	Human	human	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611743	ERS3415932	2019-05-30	2019-05-20	ESC_MA7657AA	O90	H21	9635	ND	A	ND	Assembled	95	91663	4867974	Escherichia coli / Shigella;81.69%	191	21183	4	ESC_ZA5867AA_AS	108445	97370	97370	97370	97370	97370	97370	97370	97370	97370	97370	97370	5	2	1	A	A	fimH1291	-	-	-	-	-	-	-	-	137967	Escherichia/Shigella sp.
ESC_MA7658AA	TMP019895	ERR3330238;ILLUMINA;Paired;350;ERX3354953;SRA	Human	Human	human	2015	11	11		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611742	ERS3415931	2019-05-30	2019-05-20	ESC_MA7658AA	O141	H5	155	ST155 Cplx	B1	ND	Assembled	96	266480	4686068	Escherichia coli / Shigella;97.36%	53	10906	4	ESC_ZA5866AA_AS	108440	97446	97446	97446	97446	97446	97446	97446	97446	96421	106	106	5	2	1	B1	B1	fimH121	-	-	-	-	-	-	-	-	1592	Escherichia coli
ESC_MA7659AA	TMP019892	ERR3330237;ILLUMINA;Paired;350;ERX3354952;SRA	Human	Human	human	2015	11	11		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611741	ERS3415930	2019-05-30	2019-05-20	ESC_MA7659AA	O17 or O77	H18	2076	ST394 Cplx	D	ND	Assembled	91	352679	5299703	Escherichia coli / Shigella;100.0%	117	47222	4	ESC_ZA5865AA_AS	108446	97447	97447	97447	97447	97447	97447	1447	1447	1447	1135	32	32	2	1	D	D	fimH47	-	-	-	-	-	-	-	-	1636	Escherichia coli
ESC_MA7660AA	TMP019882	ERR3330236;ILLUMINA;Paired;350;ERX3354951;SRA	Environment	Environment	pens	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611740	ERS3415929	2019-05-30	2019-05-20	ESC_MA7660AA	O29	H25	1727	ST446 Cplx	AxB1	ND	Assembled	122	280318	4646647	Escherichia coli / Shigella;96.48%	85	17761	4	ESC_ZA5864AA_AS	108435	98644	98644	98644	98644	98644	98644	98644	98644	1942	1942	124	5	2	1	B1	B1	fimH31	-	-	-	-	-	-	-	-	15100	Escherichia coli
ESC_MA7661AA	TMP019875	ERR3330235;ILLUMINA;Paired;350;ERX3354950;SRA	Environment	Environment	pens	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611739	ERS3415928	2019-05-30	2019-05-20	ESC_MA7661AA	OX10	H21	398	ST398 Cplx	ND	ND	Assembled	110	201806	4626418	Escherichia coli / Shigella;100.0%	65	11875	4	ESC_ZA5863AA_AS	108447	97448	97448	97448	97448	97448	97448	71874	33297	4970	4970	13	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	94395	Escherichia coli
ESC_MA7662AA	TMP019867	ERR3330234;ILLUMINA;Paired;350;ERX3354949;SRA	Livestock	Bovine	bovine	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611738	ERS3415927	2019-05-30	2019-05-20	ESC_MA7662AA	O96	H19	1611	ND	B1	ND	Assembled	105	214854	4734481	Escherichia coli / Shigella;100.0%	52	10750	4	ESC_ZA5862AA_AS	109744	97445	97445	97445	97445	97445	97445	97445	97445	28666	2825	96	5	2	1	B1	B1	*	-	-	-	-	-	-	-	-	14912	Escherichia coli
ESC_MA7663AA	TMP019863	ERR3330233;ILLUMINA;Paired;350;ERX3354948;SRA	Livestock	Bovine	bovine	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611737	ERS3415926	2019-05-30	2019-05-20	ESC_MA7663AA	-	H7	2005	ND	ND	ND	Assembled	98	279862	4816722	Escherichia coli / Shigella;98.52%	91	14741	4	ESC_ZA5861AA_AS	108439	97450	97450	97450	97450	97450	97450	97450	4593	4593	4593	4593	5	2	1	B1	B1	fimH31	E. coli - STEC	+	-	-	-	-	-	-	2083	Escherichia coli
ESC_MA7664AA	TMP019859	ERR3330232;ILLUMINA;Paired;350;ERX3354947;SRA	Wild Animal	Rodent	rodent	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611736	ERS3415925	2019-05-30	2019-05-20	ESC_MA7664AA	-	H10	1730	ND	B1	ND	Assembled	82	188029	4939165	Escherichia coli / Shigella;98.82%	114	22614	4	ESC_ZA5860AA_AS	108444	97449	97449	97449	97449	97449	97449	97449	97449	97449	5172	1026	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	137971	Escherichia/Shigella sp.
ESC_MA7665AA	TMP019851	ERR3330231;ILLUMINA;Paired;350;ERX3354946;SRA	Livestock	Ovine/Goat (Caprinae)	sheep	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611735	ERS3415924	2019-05-30	2019-05-20	ESC_MA7665AA	O113	H21	9642	ST155 Cplx	ND	ND	Assembled	131	140189	5170369	Escherichia coli / Shigella;100.0%	157	31026	4	ESC_ZA5859AA_AS	109745	97453	97453	97453	97453	97453	97453	97453	96202	66609	2041	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	1590	Escherichia coli
ESC_MA7666AA	TMP019846	ERR3330230;ILLUMINA;Paired;350;ERX3354945;SRA	Food	Dairy	goat	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611734	ERS3415923	2019-05-30	2019-05-20	ESC_MA7666AA	O113	H21	9642	ST155 Cplx	ND	ND	Assembled	109	128877	5245609	Escherichia coli / Shigella;100.0%	153	65327	4	ESC_ZA5858AA_AS	108449	97453	97453	97453	97453	97453	97453	97453	96202	66609	2041	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	1590	Escherichia coli
ESC_MA7667AA	TMP019837	ERR3330229;ILLUMINA;Paired;350;ERX3354944;SRA	Livestock	Bovine	bovine	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611733	ERS3415922	2019-05-30	2019-05-20	ESC_MA7667AA	O181	H8	5277	ST155 Cplx	ND	ND	Assembled	92	245940	5047729	Escherichia coli / Shigella;97.76%	105	29655	4	ESC_ZA5857AA_AS	108383	97391	97391	97391	97391	97391	97391	97391	97391	97391	65394	65394	5	2	1	A	A	fimH25	E. coli - STEC	+	+	-	-	-	-	-	144169	Escherichia coli
ESC_MA7668AA	TMP019832	ERR3330228;ILLUMINA;Paired;350;ERX3354943;SRA	Wild Animal	Rodent	rodent	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611732	ERS3415921	2019-05-30	2019-05-20	ESC_MA7668AA	O159	H34	218	ST10 Cplx	A	ND	Assembled	82	135663	4650778	Escherichia coli / Shigella;97.19%	104	16964	4	ESC_ZA5856AA_AS	108385	97392	97392	97392	97392	97392	97392	97392	97392	38422	7391	13	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	29490	Escherichia/Shigella sp.
ESC_MA7669AA	TMP019828	ERR3330227;ILLUMINA;Paired;350;ERX3354942;SRA	Food	Dairy	goat	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611731	ERS3415920	2019-05-30	2019-05-20	ESC_MA7669AA	-	H10	2758	ND	A	ND	Assembled	89	303041	4893043	Escherichia coli / Shigella;98.24%	85	18066	4	ESC_ZA5855AA_AS	108388	97393	97393	97393	97393	97393	97393	97393	97393	97393	5320	13	5	2	1	A	A	fimH585	-	-	-	-	-	-	-	-	144174	Escherichia coli
ESC_MA7670AA	TMP019822	ERR3330226;ILLUMINA;Paired;350;ERX3354941;SRA	Wild Animal	Rodent	rodent	2015	11	9		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611730	ERS3415919	2019-05-30	2019-05-20	ESC_MA7670AA	O123 or O186	H21	155	ST155 Cplx	B1	ND	Assembled	131	177514	4827102	Escherichia coli / Shigella;96.29%	118	26507	4	ESC_ZA5854AA_AS	108438	97451	97451	97451	97451	97451	97451	97451	97451	9371	106	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_MA7671AA	TMP019816	ERR3330225;ILLUMINA;Paired;350;ERX3354940;SRA	ND	Avian	avian	2015	11	11		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611729	ERS3415918	2019-05-30	2019-05-20	ESC_MA7671AA	-	H33	3910	ND	ND	ND	Assembled	143	577552	4921475	Escherichia coli / Shigella;84.0%	85	17743	4	ESC_ZA5853AA_AS	108450	97452	97452	97452	97452	97452	97452	97234	9175	9175	9175	9175	9175	4937	1	cladeI	E	fimH1074	E. coli - ETEC	-	-	-	-	-	+	-	117665	Escherichia/Shigella sp.
ESC_MA7672AA	TMP019809	ERR3330224;ILLUMINA;Paired;350;ERX3354939;SRA	ND	Avian	avian	2015	11	11		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611728	ERS3415917	2019-05-30	2019-05-20	ESC_MA7672AA	O29	H10	1720	ST86 Cplx	ND	ND	Assembled	89	131905	4551572	Escherichia coli / Shigella;97.37%	95	16880	4	ESC_ZA5852AA_AS	108441	97454	97454	97454	97454	97454	97454	97454	97454	5437	82	82	5	2	1	B1	B1	fimH25	-	-	-	-	-	-	-	-	144182	Escherichia coli
ESC_MA7673AA	TMP019798	ERR3330223;ILLUMINA;Paired;350;ERX3354938;SRA	Human	Human	human	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611727	ERS3415916	2019-05-30	2019-05-20	ESC_MA7673AA	O169	H45	10	ST10 Cplx	A	ND	Assembled	93	85881	5091144	Escherichia coli / Shigella;100.0%	288	58458	4	ESC_ZA5851AA_AS	108452	97455	97455	97455	97455	97455	97455	66495	66495	21540	1197	13	5	2	1	A	A	fimH215	-	-	-	-	-	-	-	-	86664	Escherichia/Shigella sp.
ESC_MA7674AA	TMP019793	ERR3330222;ILLUMINA;Paired;350;ERX3354937;SRA	Human	Human	human	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611726	ERS3415915	2019-05-30	2019-05-20	ESC_MA7674AA	O104	H4	678	ND	B1	ND	Assembled	111	112004	5336805	Escherichia coli / Shigella;99.44%	264	36843	4	ESC_ZA5850AA_AS	108386	97390	97390	97390	97390	97390	97390	1645	1591	1591	1591	118	5	2	1	B1	B1	Unknown	-	-	-	-	-	-	-	-	2271	Escherichia coli
ESC_MA7675AA	TMP019785	ERR3330221;ILLUMINA;Paired;350;ERX3354936;SRA	Human	Human	human	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611725	ERS3415914	2019-05-30	2019-05-20	ESC_MA7675AA	O160	H40	8369	ND	B1	ND	Assembled	75	192745	4663979	Escherichia coli / Shigella;100.0%	84	12307	4	ESC_ZA5849AA_AS	108390	97397	97397	97397	97397	97397	97397	97397	97397	68757	68757	96	5	2	1	B1	B1	fimH38	-	-	-	-	-	-	-	-	144170	Escherichia coli
ESC_MA7676AA	TMP019778	ERR3330220;ILLUMINA;Paired;350;ERX3354935;SRA	Human	Human	human	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611724	ERS3415913	2019-05-30	2019-05-20	ESC_MA7676AA	-	H53	4995	ST206 Cplx	ND	ND	Assembled	63	389714	4747066	Escherichia coli / Shigella;100.0%	57	9497	4	ESC_ZA5848AA_AS	108394	97396	97396	97396	97396	97396	97396	97396	96933	9170	9170	3593	5	2	1	A	A	fimH27	-	-	-	-	-	-	-	-	59137	Escherichia/Shigella sp.
ESC_MA7677AA	TMP019772	ERR3330219;ILLUMINA;Paired;350;ERX3354934;SRA	Human	Human	human	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611723	ERS3415912	2019-05-30	2019-05-20	ESC_MA7677AA	O16	H5	1861	ND	B2	ND	Assembled	107	680411	4844165	Escherichia coli / Shigella;100.0%	36	8738	4	ESC_ZA5847AA_AS	108384	97395	97395	97395	97395	97395	97395	97395	97395	97395	64883	64883	26	1	1	B2	B2	fimH115	-	-	-	-	-	-	-	-	117757	Escherichia/Shigella sp.
ESC_MA7678AA	TMP019768	ERR3330218;ILLUMINA;Paired;350;ERX3354933;SRA	Human	Human	human	2015	11	9		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611722	ERS3415911	2019-05-30	2019-05-20	ESC_MA7678AA	O127	H26	6335	ST165 Cplx	A	ND	Assembled	114	131538	4604071	Escherichia coli / Shigella;98.6%	93	13179	4	ESC_ZA5846AA_AS	108448	97456	97456	97456	97456	97456	97456	39470	22064	22064	22064	13	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	1936	Escherichia coli
ESC_MA7679AA	TMP019765	ERR3330217;ILLUMINA;Paired;350;ERX3354932;SRA	Environment	Environment	household environment	2015	11	9		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611721	ERS3415910	2019-05-30	2019-05-20	ESC_MA7679AA	O59	H5	206	ST206 Cplx	AxB1	ND	Assembled	79	193469	4680905	Escherichia coli / Shigella;95.52%	111	25609	4	ESC_ZA5845AA_AS	108391	97394	97394	97394	97394	97394	97394	97394	97394	97394	1168	13	5	2	1	A	A	fimH1426	-	-	-	-	-	-	-	-	144171	Escherichia coli
ESC_MA7680AA	TMP019742	ERR3330216;ILLUMINA;Paired;350;ERX3354931;SRA	Human	Human	human	2015	11	9		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611720	ERS3415909	2019-05-30	2019-05-20	ESC_MA7680AA	B2	H14	2526	ST20 Cplx	ND	ND	Assembled	62	272665	5109805	Escherichia coli / Shigella;100.0%	110	35284	4	ESC_ZA5844AA_AS	108387	97399	97399	97399	97399	97399	97399	97399	97399	10725	10725	152	5	2	1	B1	B1	fimH396	-	-	-	-	-	-	-	-	117682	Escherichia/Shigella sp.
ESC_MA7681AA	TMP019736	ERR3330215;ILLUMINA;Paired;350;ERX3354930;SRA	Human	Human	human	2015	11	9		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611719	ERS3415908	2019-05-30	2019-05-20	ESC_MA7681AA	O99	H9	13	ST13 Cplx	AxB1	ND	Assembled	109	116714	5103543	Escherichia coli / Shigella;99.22%	185	80708	4	ESC_ZA5843AA_AS	108453	97457	97457	97457	97457	97457	97457	97457	97457	97457	97457	145	145	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	137972	Escherichia/Shigella sp.
ESC_MA7682AA	TMP019732	ERR3330214;ILLUMINA;Paired;350;ERX3354929;SRA	Livestock	Bovine	beef meat	2015	11	3		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611718	ERS3415907	2019-05-30	2019-05-20	ESC_MA7682AA	O5	H19	447	ST20 Cplx	ND	ND	Assembled	53	217070	5204918	Escherichia coli / Shigella;98.93%	112	33640	4	ESC_ZA5842AA_AS	108395	97398	97398	97398	97398	97398	97398	97398	97398	97398	3050	3050	3050	2	1	B1	B1	fimH1115	E. coli - STEC	+	-	-	-	-	-	-	117684	Escherichia/Shigella sp.
ESC_MA7683AA	TMP019727	ERR3330213;ILLUMINA;Paired;350;ERX3354928;SRA	Environment	Environment	household environment	2015	11	3		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611717	ERS3415906	2019-05-30	2019-05-20	ESC_MA7683AA	O28 or O42	H10	1433	ND	A	ND	Assembled	73	208617	4926546	Escherichia coli / Shigella;85.9%	144	20536	4	ESC_ZA5841AA_AS	108451	97458	97458	97458	97458	97458	97458	97458	97458	97458	4511	2265	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	137973	Escherichia/Shigella sp.
ESC_MA7684AA	TMP019713	ERR3330212;ILLUMINA;Paired;350;ERX3354927;SRA	ND	Avian	avian	2015	11	3		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611716	ERS3415905	2019-05-30	2019-05-20	ESC_MA7684AA	O2	H32	10	ST10 Cplx	A	ND	Assembled	95	111955	4555016	Escherichia coli / Shigella;97.38%	124	22257	4	ESC_ZA5840AA_AS	108396	97400	97400	97400	97400	97400	97400	97400	59580	8294	3595	13	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	1952	Escherichia coli
ESC_MA7685AA	TMP019709	ERR3330211;ILLUMINA;Paired;350;ERX3354926;SRA	ND	Avian	avian	2015	11	3		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611715	ERS3415904	2019-05-30	2019-05-20	ESC_MA7685AA	O51	H49	589	ND	ND	ND	Assembled	129	256659	4862455	Escherichia coli / Shigella;100.0%	69	15645	4	ESC_ZA5839AA_AS	108389	97402	97402	97402	97402	97402	97402	97402	97402	97402	97402	4936	4936	4936	1	B2	B2	fimH135	E. coli - EPEC	-	-	-	-	-	-	+	144175	Escherichia coli
ESC_MA7686AA	TMP019701	ERR3330210;ILLUMINA;Paired;350;ERX3354925;SRA	ND	Avian	avian	2015	11	3		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611714	ERS3415903	2019-05-30	2019-05-20	ESC_MA7686AA	O13	H4	357	ND	B2	ND	Assembled	131	738669	4907606	Escherichia coli / Shigella;100.0%	42	7400	4	ESC_ZA5838AA_AS	108393	97404	97404	97404	97404	97404	97404	4144	2745	2745	2745	2745	2745	7	1	B2	B2	fimH21	-	-	-	-	-	-	-	-	1764	Escherichia coli
ESC_MA7687AA	TMP019659	ERR3330209;ILLUMINA;Paired;350;ERX3354924;SRA	Wild Animal	Rodent	rodent	2015	11	10		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611713	ERS3415902	2019-05-30	2019-05-20	ESC_MA7687AA	O25	H12	399	ST399 Cplx	ND	ND	Assembled	106	85683	4841363	Escherichia coli / Shigella;89.78%	175	31695	4	ESC_ZA5837AA_AS	108398	97406	97406	97406	97406	97406	97406	97406	2826	603	603	603	5	2	1	A	A	fimH34	-	-	-	-	-	-	-	-	1768	Escherichia coli
ESC_MA7688AA	TMP019633	ERR3330208;ILLUMINA;Paired;350;ERX3354923;SRA	Environment	Environment	pens	2015	11	3		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611712	ERS3415901	2019-05-30	2019-05-20	ESC_MA7688AA	-	H45	542	ND	A	ND	Assembled	97	132274	4670577	Escherichia coli / Shigella;94.59%	113	21416	4	ESC_ZA5836AA_AS	108392	97401	97401	97401	97401	97401	97401	97401	97401	69279	651	13	5	2	1	A	A	fimH398	-	-	-	-	-	-	-	-	42802	Escherichia/Shigella sp.
